nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000001	Fred Astaire	1899	1987	soundtrack,actor,miscellaneous	tt0031983,tt0050419,tt0053137,tt0072308
nm0000002	Lauren Bacall	1924	2014	actress,soundtrack	tt0117057,tt0037382,tt0038355,tt0075213
nm0000003	Brigitte Bardot	1934	\N	actress,soundtrack,music_department	tt0049189,tt0057345,tt0056404,tt0054452
nm0000004	John Belushi	1949	1982	actor,soundtrack,writer	tt0077975,tt0072562,tt0078723,tt0080455
nm0000005	Ingmar Bergman	1918	2007	writer,director,actor	tt0050986,tt0050976,tt0083922,tt0069467
nm0000006	Ingrid Bergman	1915	1982	actress,soundtrack,producer	tt0038109,tt0038787,tt0034583,tt0036855
nm0000007	Humphrey Bogart	1899	1957	actor,soundtrack,producer	tt0034583,tt0043265,tt0037382,tt0042593
nm0000008	Marlon Brando	1924	2004	actor,soundtrack,director	tt0068646,tt0070849,tt0047296,tt0078788
nm0000009	Richard Burton	1925	1984	actor,soundtrack,producer	tt0057877,tt0061184,tt0059749,tt0087803
nm0000010	James Cagney	1899	1986	actor,soundtrack,director	tt0031867,tt0029870,tt0035575,tt0042041
nm0000011	Gary Cooper	1901	1961	actor,soundtrack,stunts	tt0044706,tt0034167,tt0027996,tt0035896
nm0000012	Bette Davis	1908	1989	actress,soundtrack,make_up_department	tt0042192,tt0056687,tt0031210,tt0035140
nm0000013	Doris Day	1922	2019	soundtrack,actress,producer	tt0053172,tt0049470,tt0048317,tt0045591
nm0000014	Olivia de Havilland	1916	2020	actress,soundtrack	tt0031381,tt0040806,tt0041452,tt0029843
nm0000015	James Dean	1931	1955	actor,miscellaneous	tt0049261,tt0048545,tt0048028,tt0043228
nm0000016	Georges Delerue	1925	1992	composer,soundtrack,music_department	tt0069946,tt0091763,tt0096320,tt8847712
nm0000017	Marlene Dietrich	1901	1992	soundtrack,actress,music_department	tt0021156,tt0051201,tt0052311,tt0055031
nm0000018	Kirk Douglas	1916	2020	actor,producer,soundtrack	tt0049456,tt0050825,tt0054331,tt0080736
nm0000019	Federico Fellini	1920	1993	writer,director,actor	tt0071129,tt0053779,tt0050783,tt0056801
nm0000020	Henry Fonda	1905	1982	actor,producer,soundtrack	tt0032551,tt0050083,tt0051207,tt0082846
nm0000021	Joan Fontaine	1917	2013	actress,soundtrack,producer	tt0032976,tt0036969,tt0035751,tt0034248
nm0000022	Clark Gable	1901	1960	actor,soundtrack,producer	tt0031381,tt0025316,tt0026752,tt0023382
nm0000023	Judy Garland	1922	1969	soundtrack,actress	tt0037059,tt0055031,tt0032138,tt0047522
nm0000024	John Gielgud	1904	2000	actor,writer,director	tt0045943,tt0082031,tt0117631,tt0071877
nm0000025	Jerry Goldsmith	1929	2004	music_department,soundtrack,composer	tt0077269,tt0119488,tt0117731,tt0112715
nm0000026	Cary Grant	1904	1986	actor,soundtrack,producer	tt0038787,tt0056923,tt0034248,tt0053125
nm0000027	Alec Guinness	1914	2000	actor,soundtrack,writer	tt0050212,tt0041546,tt0051739,tt0076759
nm0000028	Rita Hayworth	1918	1987	actress,soundtrack,producer	tt0040525,tt0035103,tt0036723,tt0038559
nm0000029	Margaux Hemingway	1954	1996	actress,miscellaneous	tt0102122,tt0110138,tt0077800,tt0074802
nm0000030	Audrey Hepburn	1929	1993	actress,soundtrack	tt0046250,tt0054698,tt0056923,tt0058385
nm0000031	Katharine Hepburn	1907	2003	actress,soundtrack,writer	tt0082846,tt0063227,tt0043265,tt0032904
nm0000032	Charlton Heston	1923	2008	actor,director,soundtrack	tt0052618,tt0067525,tt0049833,tt0063442
nm0000033	Alfred Hitchcock	1899	1980	director,producer,writer	tt0056869,tt0054215,tt0052357,tt0053125
nm0000034	William Holden	1918	1981	actor,soundtrack,miscellaneous	tt0074958,tt0047437,tt0043014,tt0046359
nm0000035	James Horner	1953	2015	music_department,soundtrack,composer	tt0177971,tt0120338,tt0499549,tt0120746
nm0000036	Buster Keaton	1895	1966	actor,writer,director	tt0015324,tt0016332,tt0017925,tt0015163
nm0000037	Gene Kelly	1912	1996	soundtrack,actor,miscellaneous	tt0053946,tt0045152,tt0041716,tt0043278
nm0000038	Grace Kelly	1929	1982	actress,soundtrack,producer	tt0046874,tt0047396,tt0048728,tt0046912
nm0000039	Deborah Kerr	1921	2007	actress,soundtrack	tt0050105,tt0039192,tt0045793,tt0049408
nm0000040	Stanley Kubrick	1928	1999	director,writer,producer	tt0120663,tt0062622,tt0066921,tt0072684
nm0000041	Akira Kurosawa	1910	1998	writer,director,assistant_director	tt0051808,tt0047478,tt0089881,tt0080979
nm0000042	Alan Ladd	1913	1964	actor,producer,camera_department	tt0039056,tt0046303,tt0035432,tt0038369
nm0000043	Veronica Lake	1922	1973	actress,soundtrack,producer	tt0038369,tt0034240,tt0034881,tt0035432
nm0000044	Burt Lancaster	1913	1994	actor,producer,soundtrack	tt0045793,tt0053793,tt0051036,tt0085859
nm0000045	Bruce Lee	1940	1973	actor,writer,miscellaneous	tt0067824,tt0068767,tt0068935,tt0070034
